node_id,true_label,pred_label_raw,pred_label_aligned
0,0,3,0
1,0,3,0
2,0,3,0
3,0,3,0
4,0,3,0
5,0,3,0
6,0,3,0
7,0,3,0
8,0,3,0
9,0,3,0
10,0,3,0
11,0,3,0
12,0,3,0
13,0,3,0
14,0,3,0
15,0,3,0
16,0,3,0
17,0,3,0
18,0,3,0
19,0,3,0
20,0,3,0
21,0,3,0
22,0,3,0
23,0,3,0
24,0,3,0
25,0,3,0
26,0,3,0
27,0,3,0
28,0,3,0
29,0,3,0
30,0,3,0
31,0,3,0
32,0,3,0
33,0,3,0
34,0,3,0
35,0,3,0
36,0,3,0
37,1,2,1
38,1,2,1
39,1,2,1
40,1,2,1
41,1,2,1
42,1,2,1
43,1,2,1
44,1,2,1
45,1,2,1
46,1,2,1
47,1,2,1
48,1,2,1
49,1,2,1
50,1,2,1
51,1,2,1
52,1,2,1
53,1,2,1
54,1,2,1
55,1,2,1
56,1,2,1
57,1,2,1
58,1,2,1
59,1,2,1
60,1,2,1
61,1,2,1
62,1,2,1
63,1,2,1
64,1,2,1
65,1,2,1
66,1,2,1
67,1,2,1
68,1,2,1
69,1,2,1
70,1,2,1
71,1,2,1
72,1,2,1
73,1,2,1
74,2,0,2
75,2,0,2
76,2,0,2
77,2,0,2
78,2,0,2
79,2,0,2
80,2,0,2
81,2,0,2
82,2,0,2
83,2,0,2
84,2,0,2
85,2,0,2
86,2,0,2
87,2,0,2
88,2,0,2
89,2,0,2
90,2,0,2
91,2,0,2
92,2,0,2
93,2,0,2
94,2,0,2
95,2,0,2
96,2,0,2
97,2,0,2
98,2,0,2
99,2,0,2
100,2,0,2
101,2,0,2
102,2,0,2
103,2,0,2
104,2,0,2
105,2,0,2
106,2,0,2
107,2,0,2
108,2,0,2
109,2,0,2
110,2,0,2
111,3,1,3
112,3,1,3
113,3,1,3
114,3,1,3
115,3,1,3
116,3,1,3
117,3,1,3
118,3,1,3
119,3,1,3
120,3,1,3
121,3,1,3
122,3,1,3
123,3,1,3
124,3,1,3
125,3,1,3
126,3,1,3
127,3,1,3
128,3,1,3
129,3,1,3
130,3,1,3
131,3,1,3
132,3,1,3
133,3,1,3
134,3,1,3
135,3,1,3
136,3,1,3
137,3,1,3
138,3,1,3
139,3,1,3
140,3,1,3
141,3,1,3
142,3,1,3
143,3,1,3
144,3,1,3
145,3,1,3
146,3,1,3
147,3,1,3
148,3,1,3
149,3,1,3
